Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Color (product.metafields.shopify.color-pattern),Size (product.metafields.shopify.size),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
peacock-and-beads-plastic-toran,Peacock and Beads Plastic Toran,"<p><span class=""s1""></span><br></p>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'549,0.0,shopify,deny,manual,12.50,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-11at18.26.53.jpg?v=1729224338,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,2.41,true,,,true,,,active
peacock-and-beads-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-11at18.26.53_1.jpg?v=1729224338,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peacock-and-beads-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-11at18.26.53_2.jpg?v=1729224338,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swastik-and-beads-plastic-toran,Swastik and Beads Plastic Toran,"<p><span class=""s1""></span><br></p>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'524,0.0,shopify,deny,manual,31.25,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-10at18.57.28.jpg?v=1729224207,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,13.96,true,,,true,,,active
fabric-and-pompom-toran,Fabric and Pompom Toran,"<p><span class=""s1""></span><br></p>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'508,0.0,shopify,deny,manual,31.25,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-01at19.16.30.jpg?v=1729223912,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,6.86,true,,,true,,,active
fabric-and-pompom-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-10-01at19.16.31.jpg?v=1729223911,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabric-flower-and-beads-toran,Fabric Flower and Beads Toran,"<p><span class=""s1""></span><br></p>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'496,0.0,shopify,deny,manual,15.00,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.36.42.jpg?v=1729223737,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,5.50,true,,,true,,,active
fabric-flower-and-beads-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.36.43.jpg?v=1729223737,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabric-flower-and-beads-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.36.43_1.jpg?v=1729223737,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabric-flower-and-beads-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.36.44.jpg?v=1729223737,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
